z_mm,z_over_L,W_g,T_C,T_K,X_MeOH,y_CH3OH,y_DME,y_H2O,F_CH3OH_mol_h,F_DME_mol_h,F_H2O_mol_h
33.5000,0.223333,5.25375,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
33.7500,0.225000,5.29296,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
34.0000,0.226667,5.33216,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
34.2500,0.228333,5.37137,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
34.5000,0.230000,5.41058,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
34.7500,0.231667,5.44978,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277751e+00,9.40614750e+00,9.40614750e+00
35.0000,0.233333,5.48899,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277751e+00,9.40614750e+00,9.40614750e+00
35.2500,0.235000,5.52820,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277751e+00,9.40614750e+00,9.40614750e+00
35.5000,0.236667,5.56740,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277751e+00,9.40614750e+00,9.40614750e+00
35.7500,0.238333,5.60661,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277751e+00,9.40614750e+00,9.40614750e+00
36.0000,0.240000,5.64582,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277751e+00,9.40614750e+00,9.40614750e+00
36.2500,0.241667,5.68503,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277751e+00,9.40614750e+00,9.40614750e+00
36.5000,0.243333,5.72423,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277751e+00,9.40614750e+00,9.40614750e+00
36.7500,0.245000,5.76344,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277751e+00,9.40614750e+00,9.40614750e+00
37.0000,0.246667,5.80265,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
37.2500,0.248333,5.84185,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
